YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345
20140101,5687.054687,5460.153257,5288.463742,5078.027286,4918.00949,4741.043175,4609.814688,4489.576883,4397.960674,4285.955938,4198.159104,4119.35514,4053.09347,3986.823264,3916.478767,3876.437361,3823.826307,3808.917698,3798.009466,3754.831468,3748.481751,3753.943627,3805.774704,3778.44088,3787.166127,3836.466086,3874.981488,3918.565625,3945.520082,4049.584301,4190.270773,4291.829967,4388.716283,4536.325839,4630.575501,4797.108108,4914.089235,5012.64366,5129.199054,5253.483602,5294.898043,5362.878553,5444.810864,5499.539622,5536.491093,5635.671168,5685.099458,5691.406398,5588.717639,5512.767221,5370.545239,5301.877484,5177.411061,5116.383026,5077.77722,5027.60009,4918.97949,4915.610098,4877.281809,4867.252106,4872.826793,4860.03162,4921.959136,4918.581596,4999.929967,5058.680345,5123.109588,5242.931069,5413.474917,5664.011464,5913.585189,6138.543709,6393.654679,6644.48921,6765.53551,6758.382245,6660.639128,6641.084219,6562.856241,6589.319005,6560.165946,6547.219162,6580.094111,6565.302969,6529.58495,6591.388306,6515.49958,6489.49,6320.217434,6138.168125,5982.135477,5766.79926,5530.912623,5265.899408,5037.548216,4867.421274
20140102,4626.838964,4468.487434,4277.623347,4141.355419,3983.108067,3844.762981,3736.074384,3673.902525,3601.784383,3497.825506,3502.348907,3396.653245,3370.736591,3327.861427,3337.432126,3329.172479,3286.826159,3278.47475,3316.804494,3303.896316,3286.589285,3358.424284,3407.475341,3473.382476,3545.989013,3756.488519,3969.63273,4121.569359,4308.856086,4658.739063,4873.44963,5156.117524,5468.793338,6037.695913,6443.558075,6750.644458,6909.790806,7104.138939,7239.740962,7371.698404,7469.653175,7569.995601,7691.262188,7710.738915,7810.178174,7930.968685,7839.153141,7730.573766,7268.537837,6873.019852,6750.956604,6702.151151,6635.477328,6708.775863,6871.940436,7096.46653,7117.94912,7219.169687,7205.508207,7175.512509,7264.689071,7292.427385,7284.047361,7414.450378,7397.817788,7522.617212,7588.859967,7645.95213,7758.848684,7843.128783,7900.148487,7977.524029,8137.525723,8292.930296,8464.700806,8464.423289,8411.156612,8432.459655,8317.879375,8270.101152,8263.01375,8292.259638,8227.031891,8168.296645,8208.777073,8145.629588,8050.999589,7879.390099,7724.450156,7609.615542,7311.206003,7153.084654,6854.53495,6638.800354,6273.20037,5907.654803
20140103,5654.219605,5553.418175,5307.645395,5134.975016,5042.546529,4970.248355,4735.26343,4654.180354,4581.931941,4503.024284,4461.618282,4418.309819,4337.819219,4357.506727,4252.655838,4235.02764,4239.850189,4191.923265,4187.285986,4141.438257,4234.841012,4203.074482,4255.530724,4320.449235,4343.739129,4523.187286,4660.103174,4975.817319,5167.96491,5339.196003,5557.106406,5644.263816,6094.580205,6573.098471,6837.47653,7257.661809,7358.300764,7601.640493,7755.647878,7764.3513,7798.02097,7921.344539,8115.890164,8117.63403,8115.379556,8186.333504,8215.462895,7925.956792,7456.589021,7056.991604,7040.116611,7015.412845,6953.897385,7083.909104,7033.590839,7512.207269,7453.541184,7625.683495,7534.167681,7531.640346,7589.391333,7653.837163,7555.973281,7635.086481,7752.192253,7797.660033,7964.745346,7880.434013,7929.710789,8013.618602,8162.25694,8063.03273,8318.805822,8484.251447,8555.552073,8642.119917,8575.770559,8530.280954,8455.152417,8451.262911,8454.647435,8352.626036,8316.532336,8333.275312,8211.296842,8101.87444,8056.070361,8039.434473,7831.907435,7775.153996,7548.965904,7169.272014,6987.018035,6620.952936,6463.909063,6162.408134
20140104,5836.326241,5582.908018,5431.713051,5279.603471,5235.289021,5022.824392,4905.66333,4818.026061,4632.79069,4567.703108,4495.841143,4577.637072,4428.803182,4412.755502,4402.363116,4291.960723,4326.817188,4319.150017,4300.934096,4335.643412,4269.594754,4361.304762,4370.10208,4367.055601,4477.642779,4579.045609,4611.987294,4668.954424,4807.175641,4987.520272,5271.757335,5405.437788,5770.886743,6261.659795,6623.373668,6977.09542,7095.761825,7307.784425,7386.965913,7511.989795,7700.475345,7825.197072,7892.15074,7814.188833,7918.86648,7956.187812,7994.461102,7800.742014,7344.616004,6996.190937,6795.248356,6788.837335,6776.115979,6867.28366,7050.405304,7267.446587,7319.973833,7296.674918,7255.948207,7244.595715,7199.055379,7300.041012,7337.979943,7374.286267,7360.313611,7515.865139,7662.512746,7678.418224,7605.230172,7783.864984,7738.030156,7890.446644,8016.692435,8155.694211,8350.459638,8296.119753,8219.349588,8288.051875,8196.061052,8163.822714,8081.26194,8070.148553,8030.353042,8007.480345,7951.580312,7884.497731,7854.113257,7714.954729,7643.992245,7420.9325,7214.073404,7037.000971,6749.799588,6512.793668,6368.377837,5992.141415
20140105,5874.832525,5582.847393,5412.220222,5331.87745,5115.552221,4981.891653,4856.195658,4757.479243,4594.921308,4602.27449,4595.36421,4433.964358,4426.246941,4381.511899,4361.503224,4347.662779,4207.333849,4293.266537,4238.632451,4137.532746,4206.722846,4233.973832,4294.827558,4369.71699,4333.132179,4393.794621,4462.355773,4513.968503,4612.220773,4872.017328,5102.95745,5251.0037,5491.510641,5897.778651,6218.566866,6518.494358,6551.246505,6774.410913,6923.329096,7053.774696,7220.724597,7209.295378,7336.735724,7308.639868,7362.473898,7555.125016,7600.589983,7337.690592,6979.414399,6650.334721,6492.840962,6501.85847,6461.980412,6472.342146,6544.4987,6791.123528,6761.050715,6848.747154,6845.761785,6777.108774,6684.316925,6794.791389,6755.250115,6818.032977,6905.911776,7103.137705,7162.06278,7116.797245,7269.628602,7448.290477,7445.928042,7521.97449,7800.616496,7920.512861,7972.794309,7945.916579,7920.922007,7789.761226,7753.002106,7774.7788,7678.950172,7638.370222,7659.127155,7655.010378,7706.667146,7718.012557,7543.63653,7316.116628,7167.685288,7074.872196,6858.070115,6673.300247,6335.05824,6200.644564,5895.678116,5628.754292
20140106,5424.448915,5228.541119,5030.474103,4921.292746,4856.843133,4645.018413,4573.745723,4482.786398,4426.630576,4364.54495,4329.998594,4192.422039,4149.921489,4104.637912,4139.250616,4121.513002,4200.564704,4123.220008,4082.184934,4042.420172,4062.592195,4175.73542,4231.932952,4253.903355,4397.154022,4466.578668,4699.587509,4858.970634,4937.407162,5235.163988,5471.81935,5655.101044,5974.05819,6558.252524,6887.397483,7149.320181,7377.487073,7533.045682,7730.179655,7765.837146,7871.704013,7939.083026,8116.094737,8116.769178,8101.338224,8154.341546,8237.682006,7928.988915,7458.613799,7135.576736,6966.460049,6851.60167,6974.738611,7042.357311,7144.733536,7360.134646,7432.268405,7481.670214,7494.249465,7435.472121,7630.174498,7630.915675,7624.968799,7663.496908,7698.440576,7729.703191,7821.556662,7846.946315,8025.327763,8118.488503,8121.134178,8176.07944,8290.746826,8450.804392,8644.666167,8678.562138,8729.255017,8620.482418,8555.455461,8508.650148,8450.22569,8428.51806,8422.09569,8406.022402,8185.803108,8258.540789,8138.582829,7981.744111,7879.896924,7729.840543,7410.195764,7149.739318,6882.831111,6631.885806,6297.477821,6127.571069
20140107,5710.615017,5532.415929,5430.258051,5307.714071,5015.807121,5058.258298,4746.065156,4699.381966,4729.056982,4719.211094,4614.126629,4490.390616,4437.917302,4420.092097,4377.722788,4343.019292,4349.310518,4260.016489,4205.924827,4377.054458,4288.429729,4419.9562,4364.578512,4478.627911,4490.309136,4670.083504,4876.29755,5000.415937,5086.550773,5380.5763,5614.894835,5741.21745,6154.753767,6642.904424,7005.092821,7309.588043,7511.939646,7597.97787,7728.696719,7898.855477,7918.983947,8022.595855,8119.89898,8119.25199,8174.586513,8252.254704,8172.422928,7935.385871,7534.067771,7139.396596,7045.027236,6947.070913,6911.204096,7101.624408,7193.550823,7477.306184,7539.327887,7550.012146,7504.461431,7486.811505,7612.698396,7624.926604,7618.538766,7851.77255,7819.23875,7943.010362,8003.025329,8073.411924,8296.451299,8533.255362,8423.572418,8444.146118,8419.817451,8462.524902,8695.937845,8687.845329,8630.328306,8619.374096,8458.246135,8498.960527,8384.071496,8345.790543,8366.576382,8364.09745,8244.630213,8201.812861,8178.254277,7841.126315,7763.630493,7606.489038,7450.584236,7173.981267,6922.506439,6718.264597,6376.723717,6031.218059
20140108,5701.419029,5602.151751,5507.908297,5351.203051,5126.07449,4997.979588,4905.782155,4773.263956,4732.459063,4691.980963,4644.672705,4492.524713,4587.005526,4490.201078,4491.634835,4331.371629,4389.016595,4443.984458,4371.225049,4420.235172,4379.373437,4369.079021,4471.898536,4526.08681,4583.349984,4607.914458,4906.701036,5000.690641,5080.48449,5380.986028,5606.356119,5752.756085,6173.401241,6671.168963,7034.91324,7279.33287,7519.497401,7776.563988,7764.759573,7981.75255,7936.394671,8177.741826,8199.545971,8236.246891,8383.359128,8365.132731,8278.639868,8129.716447,7623.607986,7286.042845,7096.115099,7135.675288,7124.242286,7070.13588,7231.018043,7475.435345,7557.570871,7628.279991,7672.367073,7597.4725,7610.437229,7666.426793,7671.500863,7686.332163,7794.492401,7979.817303,8002.491053,8066.495921,8221.885362,8238.690806,8334.14676,8359.492763,8534.680098,8595.599687,8699.23245,8759.741826,8682.354935,8709.492237,8702.022073,8543.008421,8512.392796,8529.03819,8415.354869,8394.230888,8372.842582,8277.495559,8146.37319,8110.085296,7925.123174,7605.751644,7527.586037,7194.108767,6842.133306,6549.432993,6345.273116,6112.9069
20140109,5825.568553,5614.414976,5461.692162,5266.165576,5110.855675,5046.305279,4945.975172,4872.682845,4755.799203,4720.277221,4557.050083,4582.297146,4541.279532,4580.46986,4543.578141,4478.366496,4425.869029,4408.25509,4480.352862,4473.614951,4375.445616,4411.700724,4464.739548,4595.696629,4594.490822,4858.39523,4972.569177,5053.235444,5320.424951,5454.574399,5675.672319,5865.515675,6191.996529,6729.140625,7149.458988,7398.972088,7557.220313,7732.9912,7757.969573,7976.252747,8052.285033,8040.016958,8188.418519,8247.871662,8257.43528,8316.152484,8237.098454,8039.082072,7684.993175,7316.169687,7179.919219,7156.114934,7066.800535,7166.40838,7303.150444,7560.298026,7529.331455,7625.947335,7694.144252,7701.521102,7739.928446,7745.006299,7640.088092,7804.181052,7905.421019,7994.225198,8113.012368,8052.072894,8330.607812,8383.466119,8465.408421,8494.705428,8457.754539,8625.542714,8676.747171,8862.603536,8744.365871,8738.738125,8720.873635,8515.807681,8590.507187,8438.083618,8482.738635,8441.21051,8372.000428,8441.839458,8201.479375,8078.937335,7941.654787,7830.454375,7560.602509,7378.032698,7046.525304,6808.718552,6509.309137,6177.308207
20140110,5828.833282,5666.384375,5526.976266,5414.797221,5222.092171,5102.174951,4961.693537,4876.266316,4775.469736,4714.252163,4611.477656,4690.732961,4527.54278,4580.472188,4481.924844,4483.501094,4496.498997,4401.269441,4432.460567,4423.310945,4419.108323,4530.054983,4502.28301,4491.904786,4472.521858,4686.442845,4958.730963,5100.951587,5204.222443,5317.734753,5531.185387,5754.549712,6112.628898,6669.235559,7046.354293,7270.451259,7514.134465,7641.483922,7764.67528,7835.549688,7916.650806,8022.075838,8202.586727,8235.265542,8308.567763,8372.277072,8208.339506,8086.775905,7632.666719,7205.299366,7171.941842,7095.431637,6956.989745,7056.994029,7243.045946,7419.98384,7548.020057,7518.722953,7454.426891,7544.415634,7575.643717,7577.06176,7624.993437,7601.987656,7698.777845,7687.511974,7776.895049,7852.494424,7914.672879,8014.123487,7943.959507,8060.761184,8150.086447,8373.535065,8436.502615,8558.7425,8478.034523,8637.344704,8383.716185,8413.168586,8312.415559,8234.183701,8310.935921,8201.644178,8200.389095,8125.374145,8090.603816,7972.654144,7942.049868,7662.618767,7551.006299,7265.614063,7067.667812,6847.54125,6534.550962,6239.186932
